id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,custom_label_1,custom_label_2,custom_label_3
P-45RQYD,"General Dentistry Practice for Sale – Tucson, AZ","General Dentistry practice for sale in Tucson, AZ: $665K annual collections, 4 operatories, asking $475K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,475000.00 USD,https://practiceorbit.com/app/practices/P-45RQYD?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-45RQYD-db347fd10c.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-597WBY,"General Dentistry Practice for Sale – Phoenix, AZ","General Dentistry practice for sale in Phoenix, AZ: $720K annual collections, 3 operatories, asking $650K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,650000.00 USD,https://practiceorbit.com/app/practices/P-597WBY?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-597WBY-81fb13a5ca.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-68KYJR,"General Dentistry Practice for Sale – Northwest Valley, AZ","General Dentistry practice for sale in Northwest Valley, AZ: $1.1M annual collections, 8 operatories, asking $880K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,880000.00 USD,https://practiceorbit.com/app/practices/P-68KYJR?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-68KYJR-5e0584d07f.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-7CDFHH,"General Dentistry Practice for Sale – Northwest Valley, AZ","General Dentistry practice for sale in Northwest Valley, AZ: $1.1M annual collections, 8 operatories, asking $950K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,950000.00 USD,https://practiceorbit.com/app/practices/P-7CDFHH?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-7CDFHH-5cf9f01fd5.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-8ZKNJX,"General Dentistry Practice for Sale – Northwest Valley, AZ","General Dentistry practice for sale in Northwest Valley, AZ: 5 operatories, asking $1.15M. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,1150000.00 USD,https://practiceorbit.com/app/practices/P-8ZKNJX?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-8ZKNJX-de1c217f05.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-BPH498,"Orthodontist Practice for Sale – Phoenix, AZ","Orthodontist practice for sale in Phoenix, AZ: $325K annual collections, 10 operatories, asking $275K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,275000.00 USD,https://practiceorbit.com/app/practices/P-BPH498?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-BPH498-30e0fd7b0e.jpg,Practice Orbit,AZ,AZ,Orthodontist,Menlo Dental Transitions
P-E8448X,"GP with Multi-Specialty Practice for Sale – Peoria, AZ","GP with Multi-Specialty practice for sale in Peoria, AZ: $1.8M annual collections, 5 operatories, asking $1.4M. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,1400000.00 USD,https://practiceorbit.com/app/practices/P-E8448X?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-E8448X-e2581122a3.jpg,Practice Orbit,AZ,AZ,GP with Multi-Specialty,Menlo Dental Transitions
P-EZ473V,"General Dentistry Practice for Sale – Northern AZ, AZ","General Dentistry practice for sale in Northern AZ, AZ: $618K annual collections, 3 operatories, asking $345K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,345000.00 USD,https://practiceorbit.com/app/practices/P-EZ473V?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-EZ473V-99fc019bf8.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-F7FZTS,"General Dentistry Practice for Sale – Maricopa, AZ","General Dentistry practice for sale in Maricopa, AZ: $823K annual collections, 4 operatories, asking $650K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,650000.00 USD,https://practiceorbit.com/app/practices/P-F7FZTS?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-F7FZTS-355e814a25.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-GHZP9Q,"Dental Practice for Sale – Scottsdale, AZ","Dental practice for sale in Scottsdale, AZ: $1.1M annual collections, 3 operatories, asking $921K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,921000.00 USD,https://practiceorbit.com/app/practices/P-GHZP9Q?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-GHZP9Q-5e88a606b0.jpg,Practice Orbit,AZ,AZ,Dental,Menlo Dental Transitions
P-HB3BBJ,"General Dentistry Practice for Sale – Phoenix, AZ","General Dentistry practice for sale in Phoenix, AZ: 7 operatories, asking $200K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,200000.00 USD,https://practiceorbit.com/app/practices/P-HB3BBJ?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-HB3BBJ-cad950e59d.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-JPJ7TR,"General Dentistry Practice for Sale – Phoenix, AZ","General Dentistry practice for sale in Phoenix, AZ: $815K annual collections, 8 operatories, asking $661K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,661000.00 USD,https://practiceorbit.com/app/practices/P-JPJ7TR?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-JPJ7TR-b9b55b33ab.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-XRXFYR,"General Dentistry Practice for Sale – Casa Grande, AZ","General Dentistry practice for sale in Casa Grande, AZ: 8 operatories, asking $100K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,100000.00 USD,https://practiceorbit.com/app/practices/P-XRXFYR?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-XRXFYR-020cdd49c0.jpg,Practice Orbit,AZ,AZ,General Dentistry,Menlo Dental Transitions
P-3JKHCZ,"General Dentistry Practice for Sale – Walnut Creek, CA","General Dentistry practice for sale in Walnut Creek, CA: 4 operatories, asking $995K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,995000.00 USD,https://practiceorbit.com/app/practices/P-3JKHCZ?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-3JKHCZ-8c07fdeabd.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-4CNM73,"Pediatric without Orthodontics Practice for Sale – Modesto, CA","Pediatric without Orthodontics practice for sale in Modesto, CA: $551K annual collections, 7 operatories, asking $411K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,411000.00 USD,https://practiceorbit.com/app/practices/P-4CNM73?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-4CNM73-8ce8b1ae24.jpg,Practice Orbit,CA,CA-NORTH,Pediatric without Orthodontics,Menlo Dental Transitions
P-5BMMM2,"General Dentistry Practice for Sale – Palo Alto, CA","General Dentistry practice for sale in Palo Alto, CA: $1.38M annual collections, 3 operatories, asking $1.15M. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,1150000.00 USD,https://practiceorbit.com/app/practices/P-5BMMM2?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-5BMMM2-f39f0dad20.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-5P6ZCE,"Dental Practice for Sale – Victorville, CA","Dental practice for sale in Victorville, CA: 14 operatories, asking $250K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,250000.00 USD,https://practiceorbit.com/app/practices/P-5P6ZCE?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-5P6ZCE-673a96d022.jpg,Practice Orbit,CA,CA-IE,Dental,Menlo Dental Transitions
P-6M9BX9,"General Dentistry Practice for Sale – Roseville, CA","General Dentistry practice for sale in Roseville, CA: $1.6M annual collections, 4 operatories, asking $695K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,695000.00 USD,https://practiceorbit.com/app/practices/P-6M9BX9?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-6M9BX9-9b86b699e1.jpg,Practice Orbit,CA,CA-NORTH,General Dentistry,Menlo Dental Transitions
P-7QJN6G,"General Dentistry Practice for Sale – Palo Alto, CA","General Dentistry practice for sale in Palo Alto, CA: $950K annual collections, 4 operatories, asking $750K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,750000.00 USD,https://practiceorbit.com/app/practices/P-7QJN6G?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-7QJN6G-4c2eea0935.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-AN9T94,"General Dentistry Practice for Sale – Fremont, CA","General Dentistry practice for sale in Fremont, CA: $500K annual collections, 4 operatories, asking $400K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,400000.00 USD,https://practiceorbit.com/app/practices/P-AN9T94?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-AN9T94-9b4fd3c8b9.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-CJTPAH,"Periodontist Practice for Sale – San Diego, CA","Periodontist practice for sale in San Diego, CA: $881K annual collections, 4 operatories, asking $550K. Listed by DDSmatch on Practice Orbit.",in stock,used,550000.00 USD,https://practiceorbit.com/app/practices/P-CJTPAH?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-CJTPAH-9b02f4890f.jpg,Practice Orbit,CA,CA-SD,Periodontist,DDSmatch
